condition,stage,n_raw,n_pass,n_fail,n_pending,rate_among_known,rate_per_raw,evidence_label
full,raw,240,240,0,0,1.0,1.0,diagnostic_checkpoint
full,parseable,240,5,235,0,0.020833,0.020833,diagnostic_checkpoint
full,ast_pass,240,5,235,0,0.020833,0.020833,diagnostic_checkpoint
full,runnable,240,4,236,0,0.016667,0.016667,diagnostic_checkpoint
full,target_valid,240,1,239,0,0.004167,0.004167,diagnostic_checkpoint
full,oracle_bearing,240,0,240,0,0.0,0.0,diagnostic_checkpoint
full,reproducible,240,0,240,0,0.0,0.0,diagnostic_checkpoint
full,non_duplicate,240,0,240,0,0.0,0.0,diagnostic_checkpoint
full,minimized,240,0,240,0,0.0,0.0,diagnostic_checkpoint
full,stable_nightly_known,240,0,240,0,0.0,0.0,diagnostic_checkpoint
full,promoted_counterfactual,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_ast,raw,240,240,0,0,1.0,1.0,diagnostic_checkpoint
no_ast,parseable,240,5,235,0,0.020833,0.020833,diagnostic_checkpoint
no_ast,ast_pass,240,5,235,0,0.020833,0.020833,diagnostic_checkpoint
no_ast,runnable,240,4,236,0,0.016667,0.016667,diagnostic_checkpoint
no_ast,target_valid,240,1,239,0,0.004167,0.004167,diagnostic_checkpoint
no_ast,oracle_bearing,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_ast,reproducible,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_ast,non_duplicate,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_ast,minimized,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_ast,stable_nightly_known,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_ast,promoted_counterfactual,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_oracle,raw,240,240,0,0,1.0,1.0,diagnostic_checkpoint
no_oracle,parseable,240,5,235,0,0.020833,0.020833,diagnostic_checkpoint
no_oracle,ast_pass,240,5,235,0,0.020833,0.020833,diagnostic_checkpoint
no_oracle,runnable,240,4,236,0,0.016667,0.016667,diagnostic_checkpoint
no_oracle,target_valid,240,1,239,0,0.004167,0.004167,diagnostic_checkpoint
no_oracle,oracle_bearing,240,1,239,0,0.004167,0.004167,diagnostic_checkpoint
no_oracle,reproducible,240,0,239,1,0.0,0.0,diagnostic_checkpoint
no_oracle,non_duplicate,240,0,239,1,0.0,0.0,diagnostic_checkpoint
no_oracle,minimized,240,0,239,1,0.0,0.0,diagnostic_checkpoint
no_oracle,stable_nightly_known,240,0,239,1,0.0,0.0,diagnostic_checkpoint
no_oracle,promoted_counterfactual,240,0,239,1,0.0,0.0,diagnostic_checkpoint
no_vn,raw,240,240,0,0,1.0,1.0,diagnostic_checkpoint
no_vn,parseable,240,5,235,0,0.020833,0.020833,diagnostic_checkpoint
no_vn,ast_pass,240,5,235,0,0.020833,0.020833,diagnostic_checkpoint
no_vn,runnable,240,4,236,0,0.016667,0.016667,diagnostic_checkpoint
no_vn,target_valid,240,1,239,0,0.004167,0.004167,diagnostic_checkpoint
no_vn,oracle_bearing,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_vn,reproducible,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_vn,non_duplicate,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_vn,minimized,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_vn,stable_nightly_known,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_vn,promoted_counterfactual,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_atlas,raw,240,240,0,0,1.0,1.0,diagnostic_checkpoint
no_atlas,parseable,240,5,235,0,0.020833,0.020833,diagnostic_checkpoint
no_atlas,ast_pass,240,5,235,0,0.020833,0.020833,diagnostic_checkpoint
no_atlas,runnable,240,4,236,0,0.016667,0.016667,diagnostic_checkpoint
no_atlas,target_valid,240,1,239,0,0.004167,0.004167,diagnostic_checkpoint
no_atlas,oracle_bearing,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_atlas,reproducible,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_atlas,non_duplicate,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_atlas,minimized,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_atlas,stable_nightly_known,240,0,240,0,0.0,0.0,diagnostic_checkpoint
no_atlas,promoted_counterfactual,240,0,240,0,0.0,0.0,diagnostic_checkpoint
