source,source_role,baseline,category,n_total,n_comparable,n_agree,n_disagree,n_harness_true_analyzer_false,n_harness_false_analyzer_true,n_harness_unknown,n_analyzer_unknown_given_harness_known,agreement_rate
events.checkpoint,campaign_checkpoint,B0,syntax_error,120,120,120,0,0,0,0,0,1.0
events.checkpoint,campaign_checkpoint,B0,wrong_or_missing_target_api,120,120,120,0,0,0,0,0,1.0
events.checkpoint,campaign_checkpoint,B0,missing_oracle,120,120,120,0,0,0,0,0,1.0
events.checkpoint,campaign_checkpoint,B0,fake_assertion,120,120,120,0,0,0,0,0,1.0
events.checkpoint,campaign_checkpoint,B0,timeout,120,120,120,0,0,0,0,0,1.0
events.checkpoint,campaign_checkpoint,B1,syntax_error,120,120,120,0,0,0,0,0,1.0
events.checkpoint,campaign_checkpoint,B1,wrong_or_missing_target_api,120,120,85,35,35,0,0,0,0.7083333333333334
events.checkpoint,campaign_checkpoint,B1,missing_oracle,120,120,120,0,0,0,0,0,1.0
events.checkpoint,campaign_checkpoint,B1,fake_assertion,120,120,120,0,0,0,0,0,1.0
events.checkpoint,campaign_checkpoint,B1,timeout,120,120,120,0,0,0,0,0,1.0
events.checkpoint,campaign_checkpoint,B2,syntax_error,120,120,120,0,0,0,0,0,1.0
events.checkpoint,campaign_checkpoint,B2,wrong_or_missing_target_api,120,65,49,16,16,0,55,0,0.7538461538461538
events.checkpoint,campaign_checkpoint,B2,missing_oracle,120,65,65,0,0,0,55,0,1.0
events.checkpoint,campaign_checkpoint,B2,fake_assertion,120,65,65,0,0,0,55,0,1.0
events.checkpoint,campaign_checkpoint,B2,timeout,120,120,120,0,0,0,0,0,1.0
events.checkpoint,campaign_checkpoint,B3,syntax_error,120,120,120,0,0,0,0,0,1.0
events.checkpoint,campaign_checkpoint,B3,wrong_or_missing_target_api,120,2,0,2,2,0,118,0,0.0
events.checkpoint,campaign_checkpoint,B3,missing_oracle,120,2,2,0,0,0,118,0,1.0
events.checkpoint,campaign_checkpoint,B3,fake_assertion,120,2,2,0,0,0,118,0,1.0
events.checkpoint,campaign_checkpoint,B3,timeout,120,120,120,0,0,0,0,0,1.0
events.checkpoint_2,campaign_checkpoint,B0,syntax_error,120,120,120,0,0,0,0,0,1.0
events.checkpoint_2,campaign_checkpoint,B0,wrong_or_missing_target_api,120,120,120,0,0,0,0,0,1.0
events.checkpoint_2,campaign_checkpoint,B0,missing_oracle,120,120,120,0,0,0,0,0,1.0
events.checkpoint_2,campaign_checkpoint,B0,fake_assertion,120,120,120,0,0,0,0,0,1.0
events.checkpoint_2,campaign_checkpoint,B0,timeout,120,120,120,0,0,0,0,0,1.0
events.checkpoint_2,campaign_checkpoint,B1,syntax_error,120,120,120,0,0,0,0,0,1.0
events.checkpoint_2,campaign_checkpoint,B1,wrong_or_missing_target_api,120,120,85,35,35,0,0,0,0.7083333333333334
events.checkpoint_2,campaign_checkpoint,B1,missing_oracle,120,120,120,0,0,0,0,0,1.0
events.checkpoint_2,campaign_checkpoint,B1,fake_assertion,120,120,120,0,0,0,0,0,1.0
events.checkpoint_2,campaign_checkpoint,B1,timeout,120,120,120,0,0,0,0,0,1.0
events.checkpoint_2,campaign_checkpoint,B2,syntax_error,120,120,120,0,0,0,0,0,1.0
events.checkpoint_2,campaign_checkpoint,B2,wrong_or_missing_target_api,120,75,53,22,22,0,45,0,0.7066666666666667
events.checkpoint_2,campaign_checkpoint,B2,missing_oracle,120,75,75,0,0,0,45,0,1.0
events.checkpoint_2,campaign_checkpoint,B2,fake_assertion,120,75,74,1,0,1,45,0,0.9866666666666667
events.checkpoint_2,campaign_checkpoint,B2,timeout,120,120,120,0,0,0,0,0,1.0
events.checkpoint_2,campaign_checkpoint,B3,syntax_error,120,120,120,0,0,0,0,0,1.0
events.checkpoint_2,campaign_checkpoint,B3,wrong_or_missing_target_api,120,3,1,2,2,0,117,0,0.3333333333333333
events.checkpoint_2,campaign_checkpoint,B3,missing_oracle,120,3,3,0,0,0,117,0,1.0
events.checkpoint_2,campaign_checkpoint,B3,fake_assertion,120,3,3,0,0,0,117,0,1.0
events.checkpoint_2,campaign_checkpoint,B3,timeout,120,120,120,0,0,0,0,0,1.0
