source,source_role,baseline,finish_reason,n_records,observed_records,expected_records,missing_records,n_token_count_known,tokens_min,tokens_median,tokens_p95,tokens_max,n_generation_seconds_known,generation_seconds_total,generation_seconds_mean,generation_seconds_p95,n_subprocess_seconds_known,subprocess_seconds_total,subprocess_seconds_mean,n_token_generation_pairs,aggregate_tokens_per_generation_second,per_record_tokens_per_second_median,per_record_tokens_per_second_p95
events.checkpoint,campaign_checkpoint,B0,__ALL__,120,120,120,0,0,,,,,120,0.0,0.0,0.0,120,310.36600000000016,2.586383333333335,0,,,
events.checkpoint,campaign_checkpoint,B0,template,120,120,120,0,0,,,,,120,0.0,0.0,0.0,120,310.36600000000016,2.586383333333335,0,,,
events.checkpoint,campaign_checkpoint,B1,__ALL__,120,120,120,0,120,43.0,193.0,366.0,509.0,120,684.1349999999996,5.701124999999997,10.529,120,290.19199999999995,2.4182666666666663,120,34.990170068773,35.01308900523561,36.39358993559982
events.checkpoint,campaign_checkpoint,B1,stop,120,120,120,0,120,43.0,193.0,366.0,509.0,120,684.1349999999996,5.701124999999997,10.529,120,290.19199999999995,2.4182666666666663,120,34.990170068773,35.01308900523561,36.39358993559982
events.checkpoint,campaign_checkpoint,B2,__ALL__,120,120,120,0,120,476.0,600.0,600.0,600.0,120,2198.3279999999995,18.319399999999995,19.219,120,179.054,1.4921166666666668,120,32.47149651917276,32.467532467532465,33.76097231600271
events.checkpoint,campaign_checkpoint,B2,length,110,120,120,0,110,599.0,600.0,600.0,600.0,110,2037.0670000000005,18.518790909090914,19.226,110,125.52600000000001,1.1411454545454547,110,32.399032530594226,32.39740820734341,33.76097231600271
events.checkpoint,campaign_checkpoint,B2,stop,10,120,120,0,10,476.0,533.0,583.0,583.0,10,161.26100000000002,16.1261,17.304,10,53.528,5.3528,10,33.38686973291744,33.3866098383946,34.4209146720011
events.checkpoint,campaign_checkpoint,B3,__ALL__,120,120,120,0,120,599.0,600.0,600.0,603.0,120,2285.255999999999,19.04379999999999,20.098,120,9.374,0.07811666666666667,120,31.503691490143787,31.628887717448606,34.10059676044331
events.checkpoint,campaign_checkpoint,B3,length,120,120,120,0,120,599.0,600.0,600.0,603.0,120,2285.255999999999,19.04379999999999,20.098,120,9.374,0.07811666666666667,120,31.503691490143787,31.628887717448606,34.10059676044331
events.checkpoint_2,campaign_checkpoint,B0,__ALL__,120,120,120,0,0,,,,,120,0.0,0.0,0.0,120,261.88599999999997,2.182383333333333,0,,,
events.checkpoint_2,campaign_checkpoint,B0,template,120,120,120,0,0,,,,,120,0.0,0.0,0.0,120,261.88599999999997,2.182383333333333,0,,,
events.checkpoint_2,campaign_checkpoint,B1,__ALL__,120,120,120,0,120,50.0,185.0,336.0,476.0,120,663.6299999999999,5.530249999999999,9.496,120,287.938,2.3994833333333334,120,35.807603634555406,35.70118596405428,36.92463328275164
events.checkpoint_2,campaign_checkpoint,B1,stop,120,120,120,0,120,50.0,185.0,336.0,476.0,120,663.6299999999999,5.530249999999999,9.496,120,287.938,2.3994833333333334,120,35.807603634555406,35.70118596405428,36.92463328275164
events.checkpoint_2,campaign_checkpoint,B2,__ALL__,120,120,120,0,120,486.0,600.0,600.0,600.0,120,2133.8409999999994,17.78200833333333,18.649,120,183.72699999999995,1.531058333333333,120,33.49218615632562,33.35000833750208,35.19474425152511
events.checkpoint_2,campaign_checkpoint,B2,length,109,120,120,0,109,600.0,600.0,600.0,600.0,109,1955.7469999999994,17.94263302752293,18.649,109,138.45399999999995,1.270220183486238,109,33.43990812717597,33.29264232604595,35.19474425152511
events.checkpoint_2,campaign_checkpoint,B2,stop,11,120,120,0,11,486.0,566.0,598.0,598.0,11,178.094,16.190363636363635,18.674,11,45.272999999999996,4.1157272727272725,11,34.06627960515234,34.23012250780687,35.26338702655638
events.checkpoint_2,campaign_checkpoint,B3,__ALL__,120,120,120,0,120,599.0,600.0,601.0,602.0,120,2172.731,18.106091666666668,18.678,120,12.006,0.10005,120,33.13617746513489,32.77076847452073,34.71217818918137
events.checkpoint_2,campaign_checkpoint,B3,length,120,120,120,0,120,599.0,600.0,601.0,602.0,120,2172.731,18.106091666666668,18.678,120,12.006,0.10005,120,33.13617746513489,32.77076847452073,34.71217818918137
