source,source_role,baseline,outcome,n_total,n_eligible,unknown_truncation,unknown_outcome,truncated_n,truncated_outcome_positive,truncated_rate,truncated_wilson_95_low,truncated_wilson_95_high,nontruncated_n,nontruncated_outcome_positive,nontruncated_rate,nontruncated_wilson_95_low,nontruncated_wilson_95_high,risk_difference_truncated_minus_nontruncated,observed_records,raw_records,duplicate_records,unidentified_records,expected_records,missing_records,coverage_rate
events.checkpoint,campaign_checkpoint,B0,parseable,120,120,0,0,0,0,,,,120,120,1.0,0.9689808335812966,1.0,,120,120,0,0,120,0,1.0
events.checkpoint,campaign_checkpoint,B0,oracle_bearing,120,120,0,0,0,0,,,,120,0,0.0,0.0,0.031019166418703486,,120,120,0,0,120,0,1.0
events.checkpoint,campaign_checkpoint,B0,standalone_oracle_reachable,120,120,0,0,0,0,,,,120,0,0.0,0.0,0.031019166418703486,,120,120,0,0,120,0,1.0
events.checkpoint,campaign_checkpoint,B1,parseable,120,120,0,0,0,0,,,,120,120,1.0,0.9689808335812966,1.0,,120,120,0,0,120,0,1.0
events.checkpoint,campaign_checkpoint,B1,oracle_bearing,120,120,0,0,0,0,,,,120,5,0.041666666666666664,0.017926716880109515,0.09384085233703535,,120,120,0,0,120,0,1.0
events.checkpoint,campaign_checkpoint,B1,standalone_oracle_reachable,120,120,0,0,0,0,,,,120,5,0.041666666666666664,0.017926716880109515,0.09384085233703535,,120,120,0,0,120,0,1.0
events.checkpoint,campaign_checkpoint,B2,parseable,120,120,0,0,110,55,0.5,0.4081523880302757,0.5918476119697244,10,10,1.0,0.7224672001371107,0.9999999999999999,-0.5,120,120,0,0,120,0,1.0
events.checkpoint,campaign_checkpoint,B2,oracle_bearing,120,65,0,55,55,52,0.9454545454545454,0.8514693945594621,0.9812767844453155,10,10,1.0,0.7224672001371107,0.9999999999999999,-0.054545454545454564,120,120,0,0,120,0,1.0
events.checkpoint,campaign_checkpoint,B2,standalone_oracle_reachable,120,65,0,55,55,0,0.0,0.0,0.06528490111708637,10,10,1.0,0.7224672001371107,0.9999999999999999,-1.0,120,120,0,0,120,0,1.0
events.checkpoint,campaign_checkpoint,B3,parseable,120,120,0,0,120,2,0.016666666666666666,0.004582564565921137,0.0587359629721589,0,0,,,,,120,120,0,0,120,0,1.0
events.checkpoint,campaign_checkpoint,B3,oracle_bearing,120,2,0,118,2,0,0.0,0.0,0.6576197724933469,0,0,,,,,120,120,0,0,120,0,1.0
events.checkpoint,campaign_checkpoint,B3,standalone_oracle_reachable,120,2,0,118,2,0,0.0,0.0,0.6576197724933469,0,0,,,,,120,120,0,0,120,0,1.0
events.checkpoint_2,campaign_checkpoint,B0,parseable,120,120,0,0,0,0,,,,120,120,1.0,0.9689808335812966,1.0,,120,120,0,0,120,0,1.0
events.checkpoint_2,campaign_checkpoint,B0,oracle_bearing,120,120,0,0,0,0,,,,120,0,0.0,0.0,0.031019166418703486,,120,120,0,0,120,0,1.0
events.checkpoint_2,campaign_checkpoint,B0,standalone_oracle_reachable,120,120,0,0,0,0,,,,120,0,0.0,0.0,0.031019166418703486,,120,120,0,0,120,0,1.0
events.checkpoint_2,campaign_checkpoint,B1,parseable,120,120,0,0,0,0,,,,120,120,1.0,0.9689808335812966,1.0,,120,120,0,0,120,0,1.0
events.checkpoint_2,campaign_checkpoint,B1,oracle_bearing,120,120,0,0,0,0,,,,120,4,0.03333333333333333,0.0130375510983506,0.082580337559106,,120,120,0,0,120,0,1.0
events.checkpoint_2,campaign_checkpoint,B1,standalone_oracle_reachable,120,120,0,0,0,0,,,,120,4,0.03333333333333333,0.0130375510983506,0.082580337559106,,120,120,0,0,120,0,1.0
events.checkpoint_2,campaign_checkpoint,B2,parseable,120,120,0,0,109,64,0.5871559633027523,0.4932991419382305,0.6750786883253,11,11,1.0,0.7411670330319684,1.0,-0.4128440366972477,120,120,0,0,120,0,1.0
events.checkpoint_2,campaign_checkpoint,B2,oracle_bearing,120,75,0,45,64,61,0.953125,0.8710034625990631,0.983930983213707,11,11,1.0,0.7411670330319684,1.0,-0.046875,120,120,0,0,120,0,1.0
events.checkpoint_2,campaign_checkpoint,B2,standalone_oracle_reachable,120,75,0,45,64,0,0.0,0.0,0.05662405979280534,11,11,1.0,0.7411670330319684,1.0,-1.0,120,120,0,0,120,0,1.0
events.checkpoint_2,campaign_checkpoint,B3,parseable,120,120,0,0,120,3,0.025,0.008538174769902228,0.0709300333278661,0,0,,,,,120,120,0,0,120,0,1.0
events.checkpoint_2,campaign_checkpoint,B3,oracle_bearing,120,3,0,117,3,0,0.0,5.551115123125783e-17,0.5614970317550454,0,0,,,,,120,120,0,0,120,0,1.0
events.checkpoint_2,campaign_checkpoint,B3,standalone_oracle_reachable,120,3,0,117,3,0,0.0,5.551115123125783e-17,0.5614970317550454,0,0,,,,,120,120,0,0,120,0,1.0
